DomainName,ProductionIP,DR_IP
dns80.abhinav.co.in,10.0.0.129,192.168.70.129
dns81.abhinav.co.in,10.0.0.130,192.168.70.130
dns82.abhinav.co.in,10.0.0.131,192.168.70.131
dns83.abhinav.co.in,10.0.0.132,192.168.70.132
dns84.abhinav.co.in,10.0.0.133,192.168.70.133
dns85.abhinav.co.in,10.0.0.134,192.168.70.134
dns86.abhinav.co.in,10.0.0.135,192.168.70.135
dns87.abhinav.co.in,10.0.0.136,192.168.70.136
dns88.abhinav.co.in,10.0.0.137,192.168.70.137
dns89.abhinav.co.in,10.0.0.138,192.168.70.138
dns90.abhinav.co.in,10.0.0.139,192.168.70.139
dns91.abhinav.co.in,10.0.0.140,192.168.70.140
dns92.abhinav.co.in,10.0.0.141,192.168.70.141
dns93.abhinav.co.in,10.0.0.142,192.168.70.142
dns94.abhinav.co.in,10.0.0.143,192.168.70.143
dns95.abhinav.co.in,10.0.0.144,192.168.70.144
dns96.abhinav.co.in,10.0.0.145,192.168.70.145
dns97.abhinav.co.in,10.0.0.146,192.168.70.146
dns98.abhinav.co.in,10.0.0.147,192.168.70.147
dns99.abhinav.co.in,10.0.0.148,192.168.70.148
dns100.abhinav.co.in,10.0.0.149,192.168.70.149
dns101.abhinav.co.in,10.0.0.150,192.168.70.150
dns102.abhinav.co.in,10.0.0.151,192.168.70.151
dns103.abhinav.co.in,10.0.0.152,192.168.70.152
dns104.abhinav.co.in,10.0.0.153,192.168.70.153
dns105.abhinav.co.in,10.0.0.154,192.168.70.154
dns106.abhinav.co.in,10.0.0.155,192.168.70.155
dns107.abhinav.co.in,10.0.0.156,192.168.70.156
dns108.abhinav.co.in,10.0.0.157,192.168.70.157
dns109.abhinav.co.in,10.0.0.158,192.168.70.158
dns110.abhinav.co.in,10.0.0.159,192.168.70.159
dns111.abhinav.co.in,10.0.0.160,192.168.70.160
